,,,,,,,,,,,
NAME,DATE,RACENAME,COURSE,TRACK,DISTANCE,CONDITION,FINISHTIME,FINISHPOSITION,MARGIN,WEIGHT,SEX
Wonder Acute,"Oct 13,2001",THREE-YEAR-OLD &amp; UP,MORIOKA,DIRT,1200M,GOOD,1:16.0,6,1.2,482 (+2),Mare
Transcend,"Dec 29,2012",TOKYO DAISHOTEN G1,OHI,DIRT,2000M,SLOPPY,2:08.2,7,2.3,515 (-7),Stallion
Transcend,"Dec 02,2012",JAPAN CUP DIRT G1,HANSHIN,DIRT,1800M,FAST,1:51.8,16,3,522 (+9),Stallion
Transcend,"Nov 05,2012",JBC CLASSIC L,KAWASAKI,DIRT,2100M,FAST,2:14.1,3,1.6,513 (-5),Stallion
Transcend,"Mar 31,2012",DUBAI WORLD CUP G1,MEY,,2000M,,,13,,,Stallion
Transcend,"Feb 19,2012",FEBRUARY STAKES G1,TOKYO,DIRT,1600M,FAST,1:36.6,7,1.2,518 (-2),Stallion
Transcend,"Dec 04,2011",JAPAN CUP DIRT G1,HANSHIN,DIRT,1800M,FAST,1:50.6,1,0.3,520 (-1),Stallion
Transcend,"Nov 03,2011",JBC CLASSIC L,OHI,DIRT,2000M,FAST,2:02.3,2,0.2,521 (+3),Stallion
Transcend,"Oct 10,2011",MILE CHAMPIONSHIP NAMBU HAI L,TOKYO,DIRT,1600M,FAST,1:34.8,1,0,518 (+4),Stallion
Transcend,"Mar 26,2011",DUBAI WORLD CUP G1,MEY,,2000M,,,2,,,Stallion
Transcend,"Feb 20,2011",FEBRUARY STAKES G1,TOKYO,DIRT,1600M,FAST,1:36.4,1,0.2,514 (+2),Stallion
Transcend,"Dec 05,2010",JAPAN CUP DIRT G1,HANSHIN,DIRT,1800M,GOOD,1:48.9,1,0,512 (-2),Stallion
Transcend,"Nov 07,2010",MIYAKO STAKES G3,KYOTO,DIRT,1800M,FAST,1:49.8,1,0.2,514 (+6),Stallion
Transcend,"Sep 23,2010",NIPPON TV HAI L,FUNABASHI,DIRT,1800M,GOOD,1:49.3,2,0.5,508 (0),Stallion
Transcend,"May 23,2010",TOKAI TV HAI TOKAI STAKES G2,KYOTO,DIRT,1900M,MUDDY,1:55.4,2,0,508 (-2),Stallion
Transcend,"Apr 25,2010",ANTARES STAKES G3,KYOTO,DIRT,1800M,FAST,1:50.5,8,0.8,510 (0),Stallion
Transcend,"Feb 13,2010",ALDEBARAN STAKES,KYOTO,DIRT,1900M,SLOPPY,1:55.4,1,0.2,510 (+4),Stallion
Transcend,"Nov 07,2009",TOKYO CHUNICHI SPORTS HAI MUSASHINO STAKES G3,TOKYO,DIRT,1600M,FAST,1:35.9,6,0.4,506 (0),Stallion
Transcend,"Sep 21,2009",ELM STAKES G3,NIIGATA,DIRT,1800M,FAST,1:51.4,4,0.3,506 (-4),Stallion
Transcend,"Aug 23,2009",LEOPARD STAKES L,NIIGATA,DIRT,1800M,FAST,1:49.5,1,0.5,510 (-2),Stallion
Transcend,"Jul 26,2009",KIRINZAN TOKUBETSU,NIIGATA,DIRT,1800M,GOOD,1:49.5,1,1.3,512 (+4),Stallion
Transcend,"May 09,2009",KYOTO SHIMBUN HAI G2,KYOTO,TURF,2200M,FIRM,2:14.4,9,1.4,508 (-2),Stallion
Transcend,"Apr 25,2009","THREE-YEAR-OLD 5,000,000 &amp; LESS",KYOTO,DIRT,1800M,MUDDY,1:49.7,1,1.2,510 (-4),Stallion
Transcend,"Apr 11,2009",THREE-YEAR-OLD MAIDEN,HANSHIN,DIRT,1800M,FAST,1:53.7,1,0.3,514 (+6),Stallion
Transcend,"Mar 01,2009",THREE-YEAR-OLD MAIDEN,HANSHIN,TURF,1600M,FIRM,,**,,,Stallion
Dantsu Flame,"Jan 26,2005",KAWASAKI KINEN,KAWASAKI,DIRT,2100M,SLOPPY,2:19.4,11,5.2,509 (+2),Mare
Dantsu Flame,"Dec 29,2004",TOKYO DAISHOTEN,OHI,DIRT,2000M,SLOPPY,2:09.1,14,6.5,507 (+1),Mare
Dantsu Flame,"Dec 01,2004",URAWA KINEN,URAWA,DIRT,2000M,FAST,2:10.2,9,3.1,506 (-6),Mare
Dantsu Flame,"Oct 20,2004",TOKUBETSU(THREE-YEAR-OLD &amp; UP OP),ARAO,DIRT,1500M,MUDDY,1:39.0,2,1,512 (+4),Mare
Dantsu Flame,"Jun 29,2003",TAKARAZUKA KINEN G1,HANSHIN,TURF,2200M,FIRM,2:12.5,7,0.5,508 (0),Mare
Dantsu Flame,"Jun 08,2003",YASUDA KINEN G1,TOKYO,TURF,1600M,FIRM,1:32.3,5,0.2,508 (+2),Mare
Dantsu Flame,"May 18,2003",NIIGATA DAISHOTEN G3,NIIGATA,TURF,2000M,FIRM,1:58.3,1,0.2,506 (-4),Mare
Dantsu Flame,"May 04,2003",TENNO SHO(SPRING) G1,KYOTO,TURF,3200M,FIRM,3:17.3,5,0.3,510 (0),Mare
Dantsu Flame,"Apr 19,2003",YOMIURI MILERS CUP G2,HANSHIN,TURF,1600M,FIRM,1:32.4,4,0.5,510 (+12),Mare
Dantsu Flame,"Nov 17,2002",MILE CHAMPIONSHIP G1,KYOTO,TURF,1600M,FIRM,1:34.0,17,1.2,498 (+10),Mare
Dantsu Flame,"Oct 27,2002",TENNO SHO(AUTUMN) G1,NAKAYAMA,TURF,2000M,FIRM,1:59.6,14,1.1,488 (+14),Mare
Dantsu Flame,"Oct 06,2002",MAINICHI OKAN G2,NAKAYAMA,TURF,1800M,FIRM,1:46.7,5,0.6,474 (-18),Mare
Dantsu Flame,"Jun 23,2002",TAKARAZUKA KINEN G1,HANSHIN,TURF,2200M,FIRM,2:12.9,1,0,492 (+2),Mare
Dantsu Flame,"Jun 02,2002",YASUDA KINEN G1,TOKYO,TURF,1600M,FIRM,1:33.3,2,0,490 (0),Mare
Dantsu Flame,"May 12,2002",KEIO HAI SPRING CUP G2,TOKYO,TURF,1400M,FIRM,1:20.6,4,0.3,490 (0),Mare
Dantsu Flame,"Nov 18,2001",MILE CHAMPIONSHIP G1,KYOTO,TURF,1600M,FIRM,1:33.7,5,0.5,490 (-6),Mare
Dantsu Flame,"Oct 21,2001",KIKUKA SHO (JAPANESE ST.LEGER) G1,KYOTO,TURF,3000M,FIRM,3:07.7,5,0.5,496 (+6),Mare
Dantsu Flame,"Sep 23,2001",KOBE SHIMBUN HAI G2,HANSHIN,TURF,2000M,FIRM,1:59.7,4,0.2,490 (+10),Mare
Dantsu Flame,"May 27,2001",TOKYO YUSHUN (JAPANESE DERBY) G1,TOKYO,TURF,2400M,SOFT,2:27.2,2,0.2,480 (-6),Mare
Dantsu Flame,"Apr 15,2001",SATSUKI SHO(JAPANESE 2000 GUINEAS) G1,NAKAYAMA,TURF,2000M,FIRM,2:00.5,2,0.2,486 (+4),Mare
Dantsu Flame,"Feb 24,2001",ARLINGTON CUP G3,HANSHIN,TURF,1600M,GOOD,1:35.9,1,0,482 (-2),Mare
Dantsu Flame,"Feb 11,2001",KISARAGI SHO(NHK SHO) G3,KYOTO,TURF,1800M,FIRM,1:48.0,2,0.1,484 (0),Mare
Dantsu Flame,"Sep 30,2000",NOJIGIKU STAKES,HANSHIN,TURF,1600M,FIRM,1:35.4,1,0.1,484 (0),Mare
Dantsu Flame,"Sep 16,2000",KIKYO STAKES,HANSHIN,TURF,1400M,FIRM,1:21.9,1,0.6,484 (0),Mare
Dantsu Flame,"Jul 01,2000",TWO-YEAR-OLD NEWCOMER,HAKODATE,DIRT,1000M,FAST,1:00.9,1,0.1,484 (0),Mare
